# BAR0 Diff: before/after L2 table ops
# Changed: 480 registers

Offset     Before       After        XOR         
0x0ce40    0xb14002c6   0xb10002c6   0x00400000
0x0d7c4    0x00000001   0x00000000   0x00000001
0x0dfc4    0x00000001   0x00000000   0x00000001
0x0e7c4    0x00000001   0x00000000   0x00000001
0x0efc4    0x00000001   0x00000000   0x00000001
0x10000    0x20500600   0x38500000   0x18000600
0x10004    0x00000000   0x40a0060c   0x40a0060c
0x10010    0x04007f40   0x00000001   0x04007f41
0x10014    0x00000000   0x00000060   0x00000060
0x10028    0x13003fa0   0xffffffff   0xecffc05f
0x1002c    0x00010000   0xffffffff   0xfffeffff
0x10090    0xb18002c8   0xb14002c8   0x00c00000
0x10094    0xb28002ce   0xb28002cd   0x00000003
0x10114    0x045e1058   0x045e10d8   0x00000080
0x10410    0x00000003   0x00000000   0x00000003
0x10424    0x0d14a200   0x0a240200   0x0730a000
0x10434    0x0d14a200   0x0a240200   0x0730a000
0x10800    0x20500600   0x38500000   0x18000600
0x10804    0x00000000   0x40a0060c   0x40a0060c
0x10810    0x04007f40   0x00000001   0x04007f41
0x10814    0x00000000   0x00000060   0x00000060
0x10828    0x13003fa0   0xffffffff   0xecffc05f
0x1082c    0x00010000   0xffffffff   0xfffeffff
0x1095c    0xb14002c7   0xb14002c6   0x00000001
0x10964    0xb24002cb   0xb20002ca   0x00400001
0x10968    0xb10002c6   0xb0c002c5   0x01c00003
0x10d64    0x0404a7f8   0x0404a810   0x00000fe8
0x10d68    0x0404a7f8   0x0404a810   0x00000fe8
0x10e40    0xb14002c8   0xb10002c6   0x0040000e
0x10e44    0xb10002c6   0xb10002c5   0x00000003
0x117c0    0x00000002   0x00000001   0x00000003
0x117c4    0x00000001   0x00000000   0x00000001
0x11fc0    0x00000002   0x00000001   0x00000003
0x11fc4    0x00000001   0x00000000   0x00000001
0x127c0    0x00000002   0x00000001   0x00000003
0x127c4    0x00000001   0x00000000   0x00000001
0x12fc0    0x00000002   0x00000001   0x00000003
0x12fc4    0x00000001   0x00000000   0x00000001
0x14000    0x20500600   0x38500000   0x18000600
0x14004    0x00000000   0x40a0060c   0x40a0060c
0x14010    0x04007f40   0x00000001   0x04007f41
0x14014    0x00000000   0x00000060   0x00000060
0x14028    0x13003fa0   0xffffffff   0xecffc05f
0x1402c    0x00010000   0xffffffff   0xfffeffff
0x14090    0xb18002c8   0xb14002c8   0x00c00000
0x14094    0xb28002ce   0xb28002cc   0x00000002
0x14114    0x045e1058   0x045e10d8   0x00000080
0x14410    0x00000003   0x00000000   0x00000003
0x14424    0x0d14a600   0x0a240200   0x0730a400
0x14434    0x0d14a600   0x0a240200   0x0730a400
0x14800    0x20500600   0x38500000   0x18000600
0x14804    0x00000000   0x40a0060c   0x40a0060c
0x14810    0x04007f40   0x00000001   0x04007f41
0x14814    0x00000000   0x00000060   0x00000060
0x14828    0x13003fa0   0xffffffff   0xecffc05f
0x1482c    0x00010000   0xffffffff   0xfffeffff
0x1495c    0xb14002c8   0xb14002c7   0x0000000f
0x14964    0xb24002cb   0xb20002ca   0x00400001
0x14968    0xb10002c6   0xb0c002c6   0x01c00000
0x14d64    0x0404a7f8   0x0404a810   0x00000fe8
0x14d68    0x0404a7f8   0x0404a810   0x00000fe8
0x14e40    0xb14002c6   0xb10002c5   0x00400003
0x14e44    0xb10002c5   0xb10002c6   0x00000003
0x157c0    0x00000002   0x00000001   0x00000003
0x157c4    0x00000001   0x00000000   0x00000001
0x15fc0    0x00000002   0x00000001   0x00000003
0x15fc4    0x00000001   0x00000000   0x00000001
0x167c0    0x00000002   0x00000001   0x00000003
0x167c4    0x00000001   0x00000000   0x00000001
0x16fc0    0x00000002   0x00000001   0x00000003
0x16fc4    0x00000001   0x00000000   0x00000001
0x18000    0x20500600   0x38500000   0x18000600
0x18004    0x00000000   0x40a0060c   0x40a0060c
0x18010    0x04007f40   0x00000001   0x04007f41
0x18014    0x00000000   0x00000060   0x00000060
0x18028    0x13003fa0   0xffffffff   0xecffc05f
0x1802c    0x00010000   0xffffffff   0xfffeffff
0x18090    0xb18002c8   0xb14002c8   0x00c00000
0x18094    0xb28002cd   0xb28002ce   0x00000003
0x18114    0x045e1058   0x045e10d8   0x00000080
0x18410    0x00000003   0x00000000   0x00000003
0x18424    0x0a220000   0x0a240200   0x00060200
0x18434    0x0a220000   0x0a240200   0x00060200
0x18800    0x20500600   0x38500000   0x18000600
0x18804    0x00000000   0x40a0060c   0x40a0060c
0x18810    0x04007f40   0x00000001   0x04007f41
0x18814    0x00000000   0x00000060   0x00000060
0x18828    0x13003fa0   0xffffffff   0xecffc05f
0x1882c    0x00010000   0xffffffff   0xfffeffff
0x1895c    0xb14002c8   0xb14002c6   0x0000000e
0x18964    0xb24002cb   0xb20002cb   0x00400000
0x18968    0xb10002c6   0xb0c002c5   0x01c00003
0x18d64    0x0404a7f8   0x0404a810   0x00000fe8
0x18d68    0x0404a7f8   0x0404a810   0x00000fe8
0x18e40    0xb14002c6   0xb10002c6   0x00400000
0x197c0    0x00000002   0x00000001   0x00000003
0x197c4    0x00000001   0x00000000   0x00000001
0x19fc0    0x00000002   0x00000001   0x00000003
0x19fc4    0x00000001   0x00000000   0x00000001
0x1a7c0    0x00000002   0x00000001   0x00000003
0x1a7c4    0x00000001   0x00000000   0x00000001
0x1afc0    0x00000002   0x00000001   0x00000003
0x1afc4    0x00000001   0x00000000   0x00000001
0x1c000    0x20500600   0x38500000   0x18000600
0x1c004    0x00000000   0x40a0060c   0x40a0060c
0x1c010    0x04007f40   0x00000001   0x04007f41
0x1c014    0x00000000   0x00000060   0x00000060
0x1c028    0x13003fa0   0xffffffff   0xecffc05f
0x1c02c    0x00010000   0xffffffff   0xfffeffff
0x1c090    0xb18002c8   0xb14002c6   0x00c0000e
0x1c114    0x045e1058   0x045e10d8   0x00000080
0x1c410    0x00000003   0x00000000   0x00000003
0x1c424    0x0a220200   0x0a240200   0x00060000
0x1c434    0x0a220200   0x0a240200   0x00060000
0x1c800    0x20500600   0x38500000   0x18000600
0x1c804    0x00000000   0x40a0060c   0x40a0060c
0x1c810    0x04007f40   0x00000001   0x04007f41
0x1c814    0x00000000   0x00000060   0x00000060
0x1c828    0x13003fa0   0xffffffff   0xecffc05f
0x1c82c    0x00010000   0xffffffff   0xfffeffff
0x1c964    0xb24002ca   0xb20002ca   0x00400000
0x1c968    0xb10002c6   0xb0c002c6   0x01c00000
0x1cd64    0x0404a7f8   0x0404a810   0x00000fe8
0x1cd68    0x0404a7f8   0x0404a810   0x00000fe8
0x1ce40    0xb14002c6   0xb10002c6   0x00400000
0x1ce44    0xb10002c6   0xb10002c5   0x00000003
0x1d7c4    0x00000001   0x00000000   0x00000001
0x1dfc4    0x00000001   0x00000000   0x00000001
0x1e7c4    0x00000001   0x00000000   0x00000001
0x1efc4    0x00000001   0x00000000   0x00000001
0x20000    0x20500600   0x38500000   0x18000600
0x20004    0x00000000   0x40a0060c   0x40a0060c
0x20010    0x04007f40   0x00000001   0x04007f41
0x20014    0x00000000   0x00000060   0x00000060
0x20028    0x13003fa0   0xffffffff   0xecffc05f
0x2002c    0x00010000   0xffffffff   0xfffeffff
0x20090    0xb18002c8   0xb14002c8   0x00c00000
0x20094    0xb28002ce   0xb28002cd   0x00000003
0x20114    0x045e1058   0x045e10d8   0x00000080
0x20410    0x00000003   0x00000000   0x00000003
0x20800    0x20500600   0x38500000   0x18000600
0x20804    0x00000000   0x40a0060c   0x40a0060c
0x20810    0x04007f40   0x00000001   0x04007f41
0x20814    0x00000000   0x00000060   0x00000060
0x20828    0x13003fa0   0xffffffff   0xecffc05f
0x2082c    0x00010000   0xffffffff   0xfffeffff
0x2095c    0xb14002c8   0xb14002c6   0x0000000e
0x20960    0xb14002c9   0xb14002c8   0x00000001
0x20964    0xb24002cb   0xb20002ca   0x00400001
0x20968    0xb10002c6   0xb0c002c6   0x01c00000
0x20d64    0x0404a7f8   0x0404a810   0x00000fe8
0x20d68    0x0404a7f8   0x0404a810   0x00000fe8
0x20e40    0xb14002c6   0xb10002c6   0x00400000
0x20e44    0xb10002c6   0xb10002c5   0x00000003
0x217c0    0x00000001   0x00000000   0x00000001
0x217c4    0x00000001   0x00000000   0x00000001
0x21fc0    0x00000001   0x00000000   0x00000001
0x21fc4    0x00000001   0x00000000   0x00000001
0x227c0    0x00000001   0x00000000   0x00000001
0x227c4    0x00000001   0x00000000   0x00000001
0x22fc0    0x00000001   0x00000000   0x00000001
0x22fc4    0x00000001   0x00000000   0x00000001
0x24000    0x20500600   0x38500000   0x18000600
0x24004    0x00000000   0x40a0060c   0x40a0060c
0x24010    0x04007f40   0x00000001   0x04007f41
0x24014    0x00000000   0x00000060   0x00000060
0x24028    0x13003fa0   0xffffffff   0xecffc05f
0x2402c    0x00010000   0xffffffff   0xfffeffff
0x24090    0xb18002c8   0xb14002c8   0x00c00000
0x24094    0xb28002cd   0xb28002ce   0x00000003
0x24114    0x045e1058   0x045e10d8   0x00000080
0x24410    0x00000003   0x00000000   0x00000003
0x24800    0x20500600   0x38500000   0x18000600
0x24804    0x00000000   0x40a0060c   0x40a0060c
0x24810    0x04007f40   0x00000001   0x04007f41
0x24814    0x00000000   0x00000060   0x00000060
0x24828    0x13003fa0   0xffffffff   0xecffc05f
0x2482c    0x00010000   0xffffffff   0xfffeffff
0x2495c    0xb14002c8   0xb14002c6   0x0000000e
0x24960    0xb14002c8   0xb14002c6   0x0000000e
0x24964    0xb24002cc   0xb20002cb   0x00400007
0x24968    0xb10002c6   0xb0c002c5   0x01c00003
0x24d64    0x0404a7f8   0x0404a810   0x00000fe8
0x24d68    0x0404a7f8   0x0404a810   0x00000fe8
