register,block,description,fields,scope_count,sample_value,ported_by_us,importance_guess,address
CFAPDEBUGSCR2,MMU,,PTR              Scratch pad 2 pointer.; VLD              Scratch pad 2 valid.,1,0x00001006,no,medium (MMU),0x07380043
CFAPFULLTHRESHOLD,MMU,Specifies the CFAP Full thresholds,"CFAPFULLSETPOINT Defines the threshold of entering CFAP FULL condition.CFAP is not full when CFAP Read Pointer is above this limit.Note that CFAPFULLSETPOINT is limited by maximum CFAPPOOLSIZE as defined in REGISTER CFAPCONFIG.If write to CFAPFULLSETPOINT with a value greater than maximum CFAPPOOLSIZE, the read back data will be equal to maximum CFAPPOOLSIZE.; CFAPFULLRESETPOINT Defines the threshold of exiting CFAP FULL condition.CFAP is not full when CFAP Read Pointer is below this limit.Note that CFAPFULLRESETPOINT is limited by maximum CFAPPOOLSIZE as defined in REGISTER CFAPCONFIG.If write to CFAPFULLRESETPOINT with a value greater than maximum CFAPPOOLSIZE, the read back data will be equal to maximum CFAPPOOLSIZE.",1,0xb9a0ba00,no,medium (MMU),0x07380002
COMMAND_CONFIG,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,Command register. Used by the host processor to control and configure the core,"TX_ENA           Enable/Disable MAC transmit path for data packets & pause packets sent in the normal data path.Pause packets generated internally are allowed if ignore_tx_pause is not set.When set to '0' (Reset value), the MAC transmit function is disable.  When set to '1', the MAC transmit function is enabled.; RX_ENA           Enable/Disable MAC receive path. When set to '0' (Reset value), the MAC receive function is disable.  When set to '1', the MAC receive function is enabled.; ETH_SPEED         Set MAC speed. Ignored when the register bit ENA_EXT_CONFIG is set to '1'.  When the Register bit ENA_EXT_CONFIG is set to '0', used to set the core mode of operation: 00: Enable 10Mbps Ethernet mode 01: Enable 100Mbps Ethernet mode 10: Enable Gigabit Ethernet mode 11: Enable 2.5Gigabit Ethernet mode; PROMIS_EN        Enable/Disable MAC promiscuous operation. When asserted (Set to '1'), all frames are received without Unicast address filtering.; PAD_EN           Enable/Disable Frame Padding. If enabled (Set to '1') frames are padded on transmit if necessary to guarantee a minimum frame size of 64 octets and, on receive, padding is removed before the frame is transmitted to the userapplication. If disabled (set to reset value '0') no padding is appended on transmit and no padding is removed on receive by the MAC.; CRC_FWD          Terminate/Forward Received CRC. If enabled (1) the CRC field of received frames is transmitted to the user application.If disabled (Set to reset value '0') the CRC field is stripped from the frame.Note: If padding function (Bit PAD_EN set to '1') is enabled. CRC_FWD is ignored and the CRC field is checked and always terminated and removed.; PAUSE_FWD        Terminate/Forward Pause Frames. If enabled (Set to '1') pause frames are forwraded to the user application.  If disabled (Set to reset value '0'), pause frames are terminated and discarded in the MAC.; PAUSE_IGNORE     Ignore Pause Frame Quanta. If enabled (Set to '1') received pause frames are ignored by the MAC. When disabled (Set to reset value '0') the transmit process is stopped for the amount of time specified in the pause quanta received within the pause frame.; TX_ADDR_INS      Set MAC address on transmit. If enabled (Set to '1') the MAC overwrites the source MAC address with the programmed MAC address in registers MAC_0 and MAC_1. If disabled (Set to reset value '0'), the source MAC address received from the transmit application transmitted is not modified by the MAC.; HD_ENA           Half duplex enable. When set to '1', enables half duplex mode, when set to '0', the MAC operates in full duplex mode.Ignored when the register bits ETH_SPEED(1:0) are set to '10' (Gigabit Ethernet enabled) or set to ""11"" (2.5 Gigabit Ethernet enabled) and the register ENA_EXT_CONFIG is set to '0'. Ignored when the register ENA_EXT_CONFIG is set to '1'.; OVERFLOW_EN      If set, enables Rx FIFO overflow logic. In this case, the RXFIFO_STAT[1] register bit is not operational(always set to 0).If cleared, diasbles RX FIFO overfloe logic. In this case, the RXFIFO_STAT[1] register bit is operational (Sticky set when overrun occurs, clearable only by SW_Reset).; SW_RESET         Software Reset Command. When asserted, the TX and RX are disabled. Write a 0 to de-assert the sw reset.; FCS_CORRUPT_URUN_EN Corrupt Tx FCS, on underrun, when set to '1', No FCS corruption when set to '0' (Reset value).; LOOP_ENA         Enable GMII/MII loopback when set to '1', normal operation when set to '0' (Reset value).; MAC_LOOP_CON     Transmit packets to PHY while in MAC local loopback,when set to '1', otherwise transmit to PHY is disabled (normal operation),when set to '0' (Reset value).; SW_OVERRIDE_TX   If set, enables the SW programmed Tx pause capability config bits to overwrite the autonegotiated Tx pause capabilities when ena_ext_config(autoconfig) is set.If cleared, and when ena_ext_config(autoconfig) is set, then SW programmed Tx pause capability config bits has no effect over autonegotiated capabilities.; SW_OVERRIDE_RX   If set, enables the SW programmed Rx pause capability config bits to overwrite the autonegotiated Rx pause capabilities when ena_ext_config(autoconfig) is set.If cleared, and when ena_ext_config(autoconfig) is set, then SW programmed Rx pause capability config bits has no effect over autonegotiated capabilities.; EN_INTERNAL_TX_CRS If enabled, then CRS input to Unimac is ORed with tds[8] (tx data valid output). This is helpful when tx crs is disabled inside PHY.; ENA_EXT_CONFIG   Enable Configuration with External Pins. When set to '0' (Reset value) the Core speed and Mode is programmed with the register bits ETH_SPEED(1:0) and HD_ENA. When set to '1', the Core is configured with the pins set_speed(1:0) and set_duplex.; CNTL_FRM_ENA     MAC Control Frame Enable. When set to '1', MAC Control frames with any Opcode other than 0x0001 are accepted and forward to the Client interface. When set to '0' (Reset value), MAC Control frames with any Opcode other than 0x0001 are silently discarded.; NO_LGTH_CHECK    Payload Length Check Disable. When set to '0', the Core checks the frame's payload length with the FrameLength/Type field, when set to '1'(Reset value), the payload length check is disabled.; LINE_LOOPBACK    Enable GMII/MII Line Loopback when set to '1', normal operation when set to '0' (Reset value).; RX_ERR_DISC      Receive Errored Frame Discard Enable. When set to '1', any frame received with an error is discarded in the Core and not forwarded to the Client interface. When set to '0', errored Frames are forwarded to the Client interface with ff_rx_err asserted.It is recommended to set RX_ERR_DISC to '1' only when Store and Forward operation is enabled on the Core Receive FIFO Receive FIFO Section full threshold set to 0).; PRBL_ENA         EFM Preamble Insertion and Extraction. When set to '1', and only if the MAC is configured to support EFM Preamble, enables EFM Preamble Insertion and Extraction. When set to '0' (Reset value), enables standard Preamble support.; IGNORE_TX_PAUSE  Ignores the back pressure signalling from the system and hence no pause generation, when set.; SW_CTRL_RXTX_AFTER_LKUP After autoNeg link up, when set to '1', the RX_ENA/TX_ENA will not be back to alive automatically.It is for diagnostic purpose. By default '0', the RX_ENA/TX_ENA will be resumed after autoNeg is done.; RUNT_FILTER_DIS  When set, disable runt filtering.",52,0x11800158,no,unknown,0x00500502
COSWEIGHTS,IPIPE,Select one of four sections of COS_MAP table.,"COSWEIGHTS       When Weighted Round Robin Scheduling is selected, the value is in unit of packets.The higher the number, the more packets get scheduled per round.When Weighted Elastic Round Robin Scheduling is selected, the value is purely relative among the queues. The higher the relative value the more bandwidth is given to this queue.If value is reset to zero, it means this queue will be treated as Strict Priorityscheduling while the other queues are in WRR or WERR scheduling.; SELECT",104,0x00000010,yes,medium (QoS / hash),0x06300100
CPB_PARITY_CONTROL,IPIPE,"Parity Control for CPB table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the CPB table.,1,0x00000001,no,low (parity init),0x0f180d7f
CPQ_COS_EMPTY_REG,MMU,CPQ_COS_EMPTY_REG,CPQ_COS_QEMPTY   Q empty signal per port for cpu queues (0 to 47),1,0x0000ffffffffffff,no,medium (MMU),0x04380140
CPU_CONTROL_1,IPIPE,Control Register for Packets sent to the CPU.,"STATICMOVE_TOCPU Static move send to CPU enable.; NONSTATICMOVE_TOCPU Non-static move send to CPU enable.; URPF_MISS_TOCPU  Unicast RPF miss send to CPU enable.; UMC_TOCPU        Unknown multicast (L2MC miss) send to CPU enable.; UUCAST_TOCPU     Unknown unicast send to CPU enable.; V4L3ERR_TOCPU    IPv4 L3 error send to CPU enable.; IPMCERR_TOCPU    IPMC error send to CPU enable.; RESERVED_7       old meaning: Unknown VLAN send to CPU enable.; UNRESOLVEDL3SRC_TOCPU Unresolved source for L3 send to CPU enable.; V6L3DSTMISS_TOCPU IPv6 L3 unicast destination miss send to CPU enable.; V4L3DSTMISS_TOCPU IPv4 L3 unicast destination miss send to CPU enable.; IPMCPORTMISS_TOCPU IPMC port mismatch send to CPU enable.; SRCROUTE_TOCPU   If SA[40] set, send to CPU enable.; V6L3ERR_TOCPU    IPv6 L3 error send to CPU enable.; MARTIAN_ADDR_TOCPU Martian address send to CPU enable.; TUNNEL_ERR_TOCPU Tunnel error send to CPU enable.; RESERVED_16      Moved to CPU_CONTROL_0 reg - old meaning: DOS attack send to CPU enable.; L3UC_TTL_ERR_TOCPU L3 unicast TTL error send to CPU enable.; IPMC_TTL_ERR_TOCPU L3 multicast TTL error send to CPU enable.; RESERVED_19      old meaning: ICMP_REDIRECT_TOCPU.; L3_SLOWPATH_TOCPU L3 slow path to CPU enable.; RESERVED_21      Moved to CPU_CONTROL_0 reg - old meaning: Parity Error to CPU enable.; L3_MTU_FAIL_TOCPU L3 MTU Fail to CPU enable.; NIP_L3ERR_TOCPU  NON IP L3 error send to CPU enable.; MC_INDEX_ERROR_TOCPU MC index error to CPU enable.; HG_HDR_ERROR_TOCPU HiGig header error to CPU enable.; HG_HDR_TYPE1_TOCPU HiGig header type = 1 to CPU enable.; L3UC_TTL1_ERR_TOCPU L3 unicast TTL error send to CPU enable.; IPMC_TTL1_ERR_TOCPU L3 multicast TTL error send to CPU enable.; CLASS_BASED_SM_PREVENTED_TOCPU Packets that are not re-learned due to class based station movement restrictions are copied to the CPU when this bit is set.; VXLT_MISS_TOCPU  This bit controls copy to CPU of packets being dropped due to VXLT miss.  1: Copy packets being dropped due to VXLT miss to CPU  0: Do not copy packets being dropped due to VXLT miss to CPU",1,0x18500600,yes,HIGH (data path),0x0c180603
CPU_TS_PARITY_CONTROL,IPIPE,CPU_TS_PARITY_CONTROL,PARITY_EN        This bit enables parity checking for the CPU_TS_MAP table.,1,0x00000001,no,low (parity init),0x02180d09
DDP_C2_PORT_AC_DATA,MMU,DDP Debug Logic Reg,D0               data; RESV             reserved data,1,0x00000ec3,no,medium (MMU),0x0e380113
DDP_C2_PORT_BD_DATA,MMU,DDP Debug Logic Reg,D0               data; RESV             reserved data,1,0x00000bf7,no,medium (MMU),0x0e380117
