register,block,description,fields,scope_count,sample_value,ported_by_us,importance_guess,address
ING_DVP_TABLE_PARITY_CONTROL,IPIPE,"ING_DVP_TABLE_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_DVP_TABLE table.,1,0x00000001,no,low (parity init),0x0b180d08
ING_EGRMSKBMAP_PARITY_CONTROL,IPIPE,"Parity Control for ING_EGRMSKBMAP table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_EGRMSKBMAP table.,1,0x00000001,no,low (parity init),0x0f180d64
ING_EVENT_DEBUG_Y,IPIPE,Ingress Events Debug Register.,"VXLT_MISS        Bit 0 - Packets dropped due to VLAN translation miss.; BPDU             Bit 1 - BPDU packet drop.; PROTOCOL_PKT     Bit 2 - Protocol packet drop.; CML              Bit 3 - Packets dropped due to CML.; SRC_ROUTE        Bit 4 - Packets dropped due to source route.; L2SRC_DISCARD    Bit 5 - Packets dropped due to L2 source discard.; L2SRC_STATIC_MOVE Bit 6 - Packets dropped due to L2 source static movement.; L2DST_DISCARD    Bit 7 - Packets dropped due to L2 destination discard.; CFI_OR_L3DISABLE Bit 8 - Packets dropped due to CFI or L3 disable.; HIGIG_MH_TYPE1   Bit 9 - Packets dropped due to HiGig module header type 1.; DISC_STAGE       Bit 10 - Packets dropped in discard stage.; SW1_INVALID_VLAN Bit 11 - Packets dropped due to invalid VLAN.; PDISC            Bit 12 - Receive policy discard counter - DST_DISCARD, SRC_DISCARD, RATE_CONTROL, etc.; RFILDR           Bit 13 - Packets dropped by FP.; RIMDR            Bit 14 - Multicast (L2+L3) packets that are dropped.; RDROP            Bit 15 - Port bitmap zero drop condition.; VFP              Bit 16 - VFP drop (drop vector).; RESERVED_1       Bit 17 - Reserved.; DSL2HE           Bit 18 - DOS L2 header error packets.; DSL3HE           Bit 19 - DOS L3 header error packets.; DSL4HE           Bit 20 - DOS L4 header error packets.; DSICMP           Bit 21 - DOS ICMP error packets.; DSFRAG           Bit 22 - DOS fragment error packets.; MTUERR           Bit 23 - Packets trapped to CPU due to egress L3 MTU violation.; RESERVED_0       Bit 24 - Reserved.; RTUNE            Bit 25 - Receive tunnel error packets.; HG_FAILOVER_PORT_DOWN Bit 26 - Packets dropped due to Higig failover port down.; HGHDRE           Bit 27 - Higig Header error packets and not copied to CPU.; MCIDXE           Bit 28 - Multicast Index error packets.; LAGLUP           Bit 29 - LAG failover loopback packets - from either loopback port or higig.; LAGLUPD          Bit 30 - LAG failover loopback packets discarded due to backup port down.; PARITYD          Bit 31 - Parity error packets.",1,0x00000002,no,unknown,0x0f180463
ING_HIGIG_TRUNK_OVERRIDE_PROFILE_PARITY_CONTROL,IPIPE,"Parity Control for ING_HIGIG_TRUNK_OVERRIDE_PROFILE table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_HIGIG_TRUNK_OVERRIDE_PROFILE table.,1,0x00000001,no,low (parity init),0x0f180d25
ING_L3_NEXT_HOP_PARITY_CONTROL,IPIPE,"ING_L3_NEXT_HOP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_L3_NEXT_HOP table.,1,0x00000001,no,low (parity init),0x0e180d03
ING_MISC_CONFIG2,IPIPE,Ingress misc config register #2.,"FP_FIXED_KEY_EXPANSION This register drives the FPs expansion bits in the fixed key (until needed for something else).; FP_KEY_FORCE_VID When set, the VID is always used for FP key generation even if there is a tunnel hit which usually overrides the VID with tunnel ID.; DO_NOT_LEARN_DHCP If set to 1, DHCP packets will not have learning of their MACSA.; UNKNOWN_TUNNEL_IPMC_DROP Drop unknown IPMC packets for incoming tunnels.; IPMC_MISS_AS_L2MC For unknown IPMC packets, go through L2MC logic, instead of just flood to VLAN.; BLOCKED_PORTS_FP_DISABLE Disable FP lookup if port is in blocked state.; CLASS_BASED_SM_PREVENTED_DROP Packets that are not re-learned due to class based station movement restrictions are dropped when this bit is enabled.",1,0x00000080,no,unknown,0x0c180606
ING_MPLS_TPID,IPIPE,Ingress Outer TPID register.,TPID             Ingress outer TPID field.,3,0x00008100,no,unknown,0x05180600
ING_OUTER_TPID,IPIPE,Ingress Outer TPID register.,TPID             Ingress outer TPID field.,3,0x00008100,no,unknown,0x0218063c
ING_PRI_CNG_MAP_PARITY_CONTROL,IPIPE,"ING_PRI_CNG_MAP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_PRI_CNG_MAP table.,1,0x00000001,no,medium (QoS / hash),0x0c180d0b
ING_PW_TERM_SEQ_NUM_PARITY_CONTROL,IPIPE,"Parity Control for ING_PW_TERM_SEQ_NUM table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_PW_TERM_SEQ_NUM table.,1,0x00000001,no,low (parity init),0x0f180d37
ING_Q_BEGIN,IPIPE,Ingress Service Interface Counters.,QBUS             Debug BUS introduced for later ECO provisions.; NEW_INT_PRI      New internal priority.; PACKET_COUNTER   Packet counter value.; BYTE_COUNTER     Byte counter value.; EVEN_PARITY      Even parity.,1,0x00000007,no,unknown,0x00180d08
ING_SERVICE_COUNTER_TABLE_PARITY_CONTROL,IPIPE,"Parity Control for ING_SERVICE_COUNTER_TABLE table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_SERVICE_COUNTER_TABLE table.,1,0x00000001,no,low (parity init),0x0f180d90
ING_UNTAGGED_PHB_PARITY_CONTROL,IPIPE,"ING_UNTAGGED_PHB_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_UNTAGGED_PHB_table.,1,0x00000001,no,low (parity init),0x0c180d0e
ING_VINTF_COUNTER_TABLE_PARITY_CONTROL,IPIPE,"Parity Control for ING_VINTF_COUNTER_TABLE table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the ING_VINTF_COUNTER_TABLE table.,1,0x00000001,no,low (parity init),0x0f180d93
INITIAL_ING_L3_NEXT_HOP_PARITY_CONTROL,IPIPE,INITIAL_ING_L3_NEXT_HOP_PARITY_CONTROL,PARITY_EN        This bit enables parity checking for the INITIAL_ING_L3_NEXT_HOP table.,1,0x00000001,no,low (parity init),0x0b180d0b
INITIAL_L3_ECMP_GROUP_PARITY_CONTROL,IPIPE,"INITIAL_L3_ECMP_GROUP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the INITIAL_L3_ECMP_GROUP table.,1,0x00000001,no,low (parity init),0x0b180d0e
INITIAL_L3_ECMP_PARITY_CONTROL,IPIPE,"INITIAL_L3_ECMP_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the INITIAL_L3_ECMP table.,1,0x00000001,no,low (parity init),0x0b180d11
INITIAL_PROT_NHI_TABLE_PARITY_CONTROL,IPIPE,"INITIAL_PROT_NHI_TABLE_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the INITIAL_PROT_NHI_TABLE table.,1,0x00000001,no,low (parity init),0x0b180d14
INPUT_PORT_RX_ENABLE0_64,MMU,INPUT_PORT_RX_ENABLE0,INPUT_PORT_RX_ENABLE Input Port Rx Enable Bitmap for ports [36:0]; INPUT_PORT_RX_ENABLE_LO Overlay bitmap for ports 31:0; INPUT_PORT_RX_ENABLE_HI Overlay bitmap for ports 36:32,1,0x00000001ffffffff,no,medium (MMU),0x02380004
INPUT_PORT_RX_ENABLE1_64,MMU,INPUT_PORT_RX_ENABLE1,INPUT_PORT_RX_ENABLE Input Port Rx Enable Bitmap for ports [69:37]; INPUT_PORT_RX_ENABLE_LO Overlay bitmap for ports 68:37; INPUT_PORT_RX_ENABLE_HI Overlay bitmap for ports 69,1,0x00000001fffe001f,no,medium (MMU),0x02380005
IP0_INTR_ENABLE,IPIPE,Bitwise interrupt enable for IP0_INTR_STATUS,PPA_CMD_COMPLETE PPA Command is complete.  This bit is set directly from PER_PORT_AGE_CONTROL.COMPLETE; MEM_RESET_COMPLETE Memory reset command is complete. This bit is set directly from ING_HW_RESET_CONTROL_2.DONE; AGE_CMD_COMPLETE Software AGE command is complete. This bit is set directly from AGE_DEBUG.COMPLETE; LMEP_PAR_ERR     LMEP  parity error.; IARB_PKT_ERR     Iarb packet ecc error.; IARB_HDR_ERR     Iarb header ecc error.; IARB_PIPE_X_LERAN_FIFO_ECC_ERR Iarb pipe x learn_fifo ecc error.; IARB_PIPE_Y_LERAN_FIFO_ECC_ERR Iarb pipe y learn_fifo ecc error.,1,0x000000f0,no,unknown,0x00180d1f
IP0_INTR_STATUS,IPIPE,IP0 Interrupt Status,PPA_CMD_COMPLETE PPA Command is complete.  This bit is set directly from PER_PORT_AGE_CONTROL.COMPLETE; MEM_RESET_COMPLETE Memory reset command is complete. This bit is set directly from ING_HW_RESET_CONTROL_2.DONE; AGE_CMD_COMPLETE Software AGE command is complete. This bit is set directly from AGE_DEBUG.COMPLETE; LMEP_PAR_ERR     LMEP  parity error.; IARB_PKT_ERR     Iarb packet ecc error.; IARB_HDR_ERR     Iarb header ecc error.; IARB_PIPE_X_LERAN_FIFO_ECC_ERR Iarb pipe x learn_fifo ecc error.; IARB_PIPE_Y_LERAN_FIFO_ECC_ERR Iarb pipe y learn_fifo ecc error.,1,0x00000001,no,low (statistics),0x00180d1e
IP1_INTR_ENABLE,IPIPE,Bitwise interrupt enable for IP1_INTR_STATUS,VXLT_PAR_ERR     VLAN_XLATE table parity error.; VFP_POLICY_PAR_ERR VFP POLICY table parity error.; VLAN_PROT_PAR_ERR VLAN_PROTOCOL_DATA parity error.; VLAN_SUBNET_PAR_ERR  VLAN_SUBNET_DATA_ONLY parity error.; CPU_TS_POLICY_PAR_ERR CPU_TS_MAP  parity error.; VLAN_RANGE_PAR_ERR  ING_VLAN_RANGE parity error.; MOD_MAP_PAR_ERR  ING_MOD_MAP parity error.; FP_UDF_PAR_ERR   UDF_OFFSET  parity error.; L3_TUNNEL_PAR_ERR  L3_TUNNEL parity error.; WLAN_SVP_PAR_ERR WLAN_SVP_TABLE  parity error.; SRC_TRUNK_PAR_ERR SOURCE_TRUNK_MAP  parity error.; LPORT_PAR_ERR    LPORT_PROFILE_TABLE parity error.; MPLS_ENTRY_PAR_ERR MPLS_ENTRY table parity error.; PORT_TABLE_PAR_ERR PORT_TABLE  parity error.; SYS_CONFIG_PAR_ERR SYSTEM_CONFIG_TABLE  parity error.; SYSTEM_CONFIG_MODVIEW_PAR_ERR SYSTEM_CONFIG_MODVIEW  parity error.; SOURCE_TRUNK_MAP_MODVIEW_PAR_ERR SOURCE_TRUNK_MAP_MODVIEW  parity error.,1,0x0001fdff,no,unknown,0x04180d01
IP2_INTR_ENABLE,IPIPE,Bitwise interrupt enable for IP2_INTR_STATUS,NHOP_PAR_ERR     INITIAL_ING_L3_NEXT_HOP parity error.; ECMP_GRP_PAR_ERR INITIAL_L3_ECMP_GROUP parity error.; L3_ECMP_PAR_ERR  INITIAL_L3_ECMP table parity error.; ING_DVP_PAR_ERR  ING_DVP_TABLE parity error.; PROT_NHI_PAR_ERR INITIAL_PROT_NHI_TABLE parity error.; PORT_CBL_PAR_ERR PORT_CBL_TABLE parity error.; PORT_CBL_MODBASE_PAR_ERR PORT_CBL_MODBASE_TABLE parity error.; L3_IPMC_1_PAR_ERR L3_IPMC_1  parity error.; MA_INDEX_PAR_ERR MA_INDEX parity error; RMEP_PAR_ERR     RMEP  parity error.; MAID_REDUCTION_PAR_ERR MAID_REDUCTION parity error.; MA_STATE_PAR_ERR MA_STATE parity error; VLAN_PAR_ERR     VLAN table parity error.; SVP_PAR_ERR      SOURCE_VP table parity error.; L3_IIF_PAR_ERR   L3_IIF table parity error.; VFI_INTR         VFI table parity error.; VLAN_MPLS_INTR   VLAN_MPLS table parity error.; VLAN_STG_INTR    VLAN_STG table parity error.; VRF_INTR         VRF table parity error.; VFI_1_INTR       VFI_1 table parity error.; L3_ENTRY_PAR_ERR L3_ENTRY table parity error.; L3_DEFIP_DATA_PAR_ERR L3_DEFIP_DATA_ONLY table parity error.; L3_DEFIP_128_DATA_PAR_ERR L3_DEFIP_128_DATA_ONLY table parity error.; TTL_FN_PAR_ERR   TTL_FN parity error; TOS_FN_PAR_ERR   TOS_FN parity error; ING_PRI_CNG_MAP_PAR_ERR ING_PRI_CNG_MAP parity error; ING_UNTAGGED_PHB_PAR_ERR ING_UNTAGGED_PHB parity error; DSCP_TABLE_PAR_ERR DSCP_TABLE parity error; FP_FIELD_SEL_PAR_ERR FP_PORT_FIELD_SEL parity error.,1,0x1ffff0df,no,unknown,0x0b180d02
IP3_INTR_ENABLE,IPIPE,Bitwise interrupt enable for IP3_INTR_STATUS,L2_ENTRY_PAR_ERR L2_ENTRY table parity error.; L2_MOD_FIFO_INTR L2_MOD_FIFO table parity error.; L2_USER_ENTRY_DATA_INTR L2_USER_ENTRY_DATA table parity error.,1,0x00000007,no,unknown,0x06180d01
IP4_INTR_ENABLE,IPIPE,Bitwise interrupt enable for IP4_INTR_STATUS,IFP_POLICY_PAR_ERR  IFP_POLICY parity error; IFP_STORM_CONTROL_PAR_ERR  IFP_STORM_CONTROL parity error; IFP_COUNTER_PAR_ERR  IFP_COUNTER parity error; IFP_METER_PAR_ERR  IFP_METER parity error; IFP_ING_DVP_2_PAR_ERR  IFP_ING_DVP_2 parity error; IFP_METER_MUX_DATA_STAGING_PAR_ERR  IFP_METER_MUX_DATA_STAGING parity error; IFP_COUNTER_MUX_DATA_STAGING_PAR_ERR  IFP_METER_MUX_DATA_STAGING parity error; IRSEL2_EGR_MASK_MODBASE_PAR_ERR  IRSEL2_EGR_MASK_MODBASE_PAR_ERR; IRSEL2_ICONTROL_OPCODE_BITMAP_PAR_ERR  IRSEL2_ICONTROL_OPCODE_BITMAP_PAR_ERR; IRSEL2_IFP_REDIRECTION_PROFILE_PAR_ERR  IRSEL2_IFP_REDIRECTION_PROFILE_PAR_ERR; IRSEL2_ING_L3_NEXT_HOP_PAR_ERR IRSEL2_ING_L3_NEXT_HOP_PAR_ERR; IRSEL2_L2MC_PAR_ERR IRSEL2_L2MC_PAR_ERR; IRSEL2_L3_ECMP_GROUP_PAR_ERR IRSEL2_L3_ECMP_GROUP_PAR_ERR; IRSEL2_L3_ECMP_PAR_ERR IRSEL2_L3_ECMP_PAR_ERR; IRSEL2_L3_IPMC_PAR_ERR IRSEL2_L3_IPMC_PAR_ERR; IRSEL2_L3_IPMC_REMAP_PAR_ERR IRSEL2_L3_IPMC_REMAP_PAR_ERR; IRSEL2_TRUNK_GROUP_PAR_ERR IRSEL2_TRUNK_GROUP_PAR_ERR,1,0x0001ff97,no,unknown,0x0d180d23
IP5_INTR_ENABLE,IPIPE,Bitwise interrupt enable for IP5_INTR_STATUS,VOQ_COS_MAP_PAR_ERR VOQ_COS_MAP table parity error.; DLB_HGT_FLOWSET_PORT_PAR_ERR DLB_HGT_FLOWSET_PORT table parity error.; DLB_HGT_FLOWSET_TIMESTAMP_PAR_ERR DLB_HGT_FLOWSET_TIMESTAMP table parity error.; DLB_HGT_FLOWSET_TIMESTAMP_PAGE_PAR_ERR DLB_HGT_FLOWSET_TIMESTAMP_PAGE table parity error.,1,0x0000000f,no,unknown,0x0f180d01
IP5_INTR_ENABLE_1,IPIPE,Bitwise interrupt enable for IP5_INTR_STATUS_1,EGR_MASK_PAR_ERR EGR_MASK table parity error.; TRUNK_BITMAP_PAR_ERR TRUNK_BITMAP table parity error.; NONUCAST_TRUNK_BLOCK_MASK_PAR_ERR NONUCAST_TRUNK_BLOCK_MASK  parity error.; MAC_BLOCK_TABLE_PAR_ERR MAC_BLOCK_TABLE parity error.; MODPORT_MAP_SW_PAR_ERR MODPORT_MAP_SW table parity error.; MODPORT_MAP_M0_PAR_ERR MODPORT_MAP_M0 table parity error.; MODPORT_MAP_M1_PAR_ERR MODPORT_MAP_M1 table parity error.; MODPORT_MAP_M2_PAR_ERR MODPORT_MAP_M2 table parity error.; MODPORT_MAP_M3_PAR_ERR MODPORT_MAP_M3 table parity error.; SRC_MODID_INGRESS_BLOCK_PAR_ERR SRC_MODID_INGRESS_BLOCK table parity error.; SRC_MODID_EGRESS_PAR_ERR SRC_MODID_EGRESS table parity error.; ALTERNATE_EMIRROR_BITMAP_PAR_ERR ALTERNATE_EMIRROR_BITMAP table parity error.; PORT_LAG_FAILOVER_SET_PAR_ERR PORT_LAG_FAILOVER_SET table parity error.; VLAN_PROFILE_2_PAR_ERR VLAN_PROFILE_2 table parity error.; L3_MTU_VALUES_PAR_ERR L3_MTU_VALUES table parity error.; ING_PW_TERM_SEQ_NUM_PAR_ERR ING_PW_TERM_SEQ_NUM table parity error.; ING_SERVICE_COUNTER_TABLE_PAR_ERR ING_SERVICE_COUNTER_TABLE parity error.; ING_VINTF_COUNTER_TABLE_PAR_ERR ING_VINTF_COUNTER_TABLE parity error.; VLAN_COS_MAP_PAR_ERR VLAN_COS_MAP table parity error.; E2E_HOL_STATUS_PAR_ERR E2E_HOL_STATUS table parity error.; E2E_HOL_STATUS_1_PAR_ERR E2E_HOL_STATUS_1 table parity error.; UNKNOWN_UCAST_BLOCK_MASK_PAR_ERR UNKNOWN_UCAST_BLOCK_MASK parity error.; UNKNOWN_MCAST_BLOCK_MASK_PAR_ERR UNKNOWN_MCAST_BLOCK_MASK parity error.; BCAST_BLOCK_MASK_PAR_ERR BCAST_BLOCK_MASK parity error.; KNOWN_MCAST_BLOCK_MASK_PAR_ERR KNOWN_MCAST_BLOCK_MASK parity error.; ING_EGRMSKBMAP_PAR_ERR ING_EGRMSKBMAP parity error.; LOCAL_SW_DISABLE_DEFAULT_PBM_PAR_ERR LOCAL_SW_DISABLE_DEFAULT_PBM parity error.; LOCAL_SW_DISABLE_DEFAULT_PBM_MIRR_PAR_ERR LOCAL_SW_DISABLE_DEFAULT_PBM_MIRR parity error.; IMIRROR_BITMAP_PAR_ERR IMIRROR_BITMAP parity error.; UNKNOWN_HGI_BITMAP_PAR_ERR UNKNOWN_HGI_BITMAP parity error.; TRUNK_MEMBER_PAR_ERR TRUNK_MEMBER parity error.; ING_HIGIG_TRUNK_OVERRIDE_PROFILE_PAR_ERR ING_HIGIG_TRUNK_OVERRIDE_PROFILE parity error.,1,0xffffffff,no,unknown,0x0f180d03
IP5_INTR_ENABLE_2,IPIPE,Bitwise interrupt enable for IP5_INTR_STATUS_2,EMIRROR_CONTROL_PAR_ERR EMIRROR_CONTROL parity error.; EMIRROR_CONTROL1_PAR_ERR EMIRROR_CONTROL1 parity error.; EMIRROR_CONTROL2_PAR_ERR EMIRROR_CONTROL2 parity error.; EMIRROR_CONTROL3_PAR_ERR EMIRROR_CONTROL3 parity error.; SW2_EOP_BUFFER_A_PAR_ERR SW2_EOP_BUFFER_A parity error.; SW2_EOP_BUFFER_B_PAR_ERR SW2_EOP_BUFFER_B parity error.; SW2_EOP_BUFFER_C_PAR_ERR SW2_EOP_BUFFER_C parity error.; IP_COUNTERS_PAR_ERR IP_COUNTERS parity error.; RDBGC_MEM_INST0_PAR_ERR RDBGC_MEM_INST0 parity error.; RDBGC_MEM_INST1_PAR_ERR RDBGC_MEM_INST1_ parity error.; RDBGC_MEM_INST2_PAR_ERR RDBGC_MEM_INST2 parity error.; HG_COUNTERS_PAR_ERR HG_COUNTERS parity error.; NIV_ERROR_DROP_PAR_ERR NIV_ERROR_DROP_COUNTERS parity error.; NIV_FORWARDING_DROP_PAR_ERR NIV_FORWARDING_DROP_COUNTERS parity error.; NIV_VLAN_TAGGED_PAR_ERR NIV_VLAN_TAGGED_COUNTERS parity error.; TRILL_RX_PKTS_PAR_ERR TRILL_RX_PKTS_COUNTERS parity error.; TRILL_RX_ACCESS_PORT_TRILL_PKTS_DISCARDED_PAR_ERR TRILL_RX_ACCESS_PORT_TRILL_PKTS_DISCARDED_COUNTERS parity error.; TRILL_RX_NETWORK_PORT_NON_TRILL_PKTS_DISCARDED_PAR_ERR TRILL_RX_ACCESS_PORT_TRILL_PKTS_DISCARDED_COUNTERS parity error.; CPB_PAR_ERR      SW2 Cell Pointer buffer parity error.,1,0x0007ffff,no,unknown,0x0f180d05
IPG_HD_BKP_CNTL,XLPORT0 XLPORT1 XLPORT2 XLPORT3 XLPORT4 XLPORT5 XLPORT6 XLPORT7 XLPORT8 XLPORT9 XLPORT10 XLPORT11 XLPORT12 XLPORT13 XLPORT14 XLPORT15 XLPORT16 XLPORT17,The control register for HD-BackPressure.,"HD_FC_ENA        When set, enables back-pressure in half-duplex mode.; HD_FC_BKOFF_OK   Register Bit 1 refers to the application of backoff algorithm during HD backpressure.; IPG_CONFIG_RX    The programmable Rx IPG below which the packets received are dropped graciously. The value is in Bytes for 1/2.5G and Nibbles for 10/100M.",52,0x00000014,no,unknown,0x00500501
IP_COUNTERS_PARITY_CONTROL,IPIPE,"Parity Control for IP stats counters, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the IP stats counters.,1,0x00000001,no,low (parity init),0x0f180d81
KNOWN_MCAST_BLOCK_MASK_PARITY_CONTROL,IPIPE,"Parity Control for KNOWN_MCAST_BLOCK_MASK table, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the KNOWN_MCAST_BLOCK_MASK table.,1,0x00000001,no,low (parity init),0x0f180d67
L2MC_PARITY_CONTROL,IPIPE,"L2MC_PARITY_CONTROL, FeatureSpecific-Ethernet",PARITY_EN        This bit enables parity checking for the L2MC table.,1,0x00000001,no,low (parity init),0x0e180d06
L2_AGE_TIMER,IPIPE,Age Timer Register,AGE_VAL          Age Limit; AGE_ENA          Age Enable,1,0x00000000,no,unknown,0x00180304
L2_AUX_HASH_CONTROL,IPIPE,L2_AUX_HASH_CONTROL.,INSERT_LEAST_FULL_HALF Insert entry into the least full half of the hash location if 1.; HASH_SELECT      Selects one of the standard hashing modes.; ENABLE           This bit enables dual hashing (if == 1) for the L2_ENTRY table.,1,0x00000013,no,medium (QoS / hash),0x06180600
