# Block-id-related strings

  @ 113c5e44  ""CMIC_MEM_FAIL""
  @ 113c5e54  ""CMIC_IGBP_WARN""
  @ 113c5e64  ""CMIC_IGBP_DISCARD""
  @ 113c5e78  ""CMIC_MIIM_PARAM""
  @ 113c5e88  ""CMIC_MIIM_READ_DATA""
  @ 113c5e9c  ""CMIC_SCAN_PORTS""
  @ 113c5eac  ""CMIC_STAT_DMA_ADDR""
  @ 113c5ec0  ""CMIC_STAT_DMA_SETUP""
  @ 113c5ed4  ""CMIC_STAT_DMA_PORTS""
  @ 113c5ee8  ""CMIC_STAT_DMA_CURRENT""
  @ 113c5f00  ""CMIC_ENDIAN_SELECT""
  @ 113c5f9c  ""CMIC_SCHAN_D%02d""
  @ 113c5fb0  ""CMIC_LED_CTRL""
  @ 113c5fc0  ""CMIC_LED_STATUS""
  @ 113c5fd0  ""CMIC_LED_PROG%02x""
  @ 113c5fe4  ""CMIC_LED_DATA%02x""
  @ 113c5ff8  ""CMIC_UNUSED_0x%04x""
  @ 113c8424  ""CMIC_I2CM_SMBUS_CONFIG""
  @ 113c843c  ""CMIC_I2CM_SMBUS_TIMING_CONFIG""
  @ 113c845c  ""CMIC_I2CM_SMBUS_ADDRESS""
  @ 113c8474  ""CMIC_I2CM_SMBUS_MASTER_FIFO_CONTROL""
  @ 113c8498  ""CMIC_I2CM_SMBUS_SLAVE_FIFO_CONTROL""
  @ 113c84bc  ""CMIC_I2CM_SMBUS_BIT_BANG_CONTROL""
  @ 113c84e0  ""CMIC_I2CM_SMBUS_MASTER_COMMAND""
  @ 113c8500  ""CMIC_I2CM_SMBUS_SLAVE_COMMAND""
  @ 113c8520  ""CMIC_I2CM_SMBUS_EVENT_ENABLE""
  @ 113c8540  ""CMIC_I2CM_SMBUS_EVENT_STATUS""
  @ 113c8560  ""CMIC_I2CM_SMBUS_MASTER_DATA_WRITE""
  @ 113c8584  ""CMIC_I2CM_SMBUS_MASTER_DATA_READ""
  @ 113c85a8  ""CMIC_I2CM_SMBUS_SLAVE_DATA_WRITE""
  @ 113c85cc  ""CMIC_I2CM_SMBUS_SLAVE_DATA_READ""
