# Packet DMA / DCB / HiGig related strings

  "Error: TX: Expected done bit in DCB Pckt(%d)\n"        @ 113779a8  in FUN_101fc320
  "Error: TX: Unexpected count Packet %d: Expected %d Got @ 113779d8  in FUN_101fc320
  "Error: RX: DCB (%d) Last DCB for packet does not have  @ 11377a78  in FUN_101fc8f0
  "Error: RX: DCB (%d) First for packet does not have STA @ 11377abc  in FUN_101fc8f0
  "Error: RX: DCB (%d) Unexpected START bit\n"            @ 11377afc  in FUN_101fc8f0
  "Error: RX: DCB (%d) Unexpected END bit\n"              @ 11377b28  in FUN_101fc8f0
  "Error: RX: DCB (%d) Expected DONE set\n"               @ 11377b50  in FUN_101fc8f0
  "Expected DONE not set in dv[%d@%p] dcb[%d@%p]\n"       @ 11377e80  in FUN_10200648
  "Expected Start dv[%d@%p] dcb[%d] not set\n"            @ 11377ee8  in FUN_10200648
  "Un-expected Start dv[%d@%p] dcb[%d] set\n"             @ 11377f14  in FUN_10200648
  "Expected End dv[%d] dcb[%d] not set\n"                 @ 11377fe0  in FUN_10200648
  "Un-expected End dv[%d] dcb[%d] set\n"                  @ 11378008  in FUN_10200648
  "dcb_idx <= dv_max_dcb"                                 @ 11378060  in FUN_10201078
  "Basic DCB Reload %s Channel %d\n"                      @ 11378144  in FUN_10203424
  "DCB[%d] Done expected but not set\n"                   @ 11378254  in FUN_10203424
  "DCB[%d] SW/EW set but not expected\n"                  @ 11378278  in FUN_10203424
  "DCB[%d] SW/EW set but not expected\n"                  @ 11378278  in FUN_10203424
  "Could not setup reload dcb\n"                          @ 11379554  in FUN_1020e778
  "bcm_rx_thread_pri"                                     @ 1137f12c  in ?
  "bcm_tx_thread_pri"                                     @ 1137f1bc  in ?
  "cx4_to_higig"                                          @ 1137f898  in ?
  "higig2_hdr_mode"                                       @ 1138187c  in ?
  "higig2_multicast_l2_range"                             @ 1138188c  in ?
  "higig2_multicast_l3_range"                             @ 113818a8  in ?
  "higig2_multicast_vlan_range"                           @ 113818c4  in ?
  "higig_destport_mask"                                   @ 113818e0  in ?
  "higig_frc_tm_system_port_encoding"                     @ 113818f4  in ?
  "higig_max_speed"                                       @ 11381918  in ?
  "knet_filter_persist"                                   @ 113820b8  in ?
  "rcpu_cpu_queue"                                        @ 11384ea0  in ?
  "rcpu_cpu_tc_cos0"                                      @ 11384eb0  in ?
  "rcpu_cpu_tc_cos1"                                      @ 11384ec4  in ?
  "rcpu_cpu_tc_cos2"                                      @ 11384ed8  in ?
  "rcpu_cpu_tc_cos3"                                      @ 11384eec  in ?
  "rcpu_cpu_tc_cos4"                                      @ 11384f00  in ?
  "rcpu_cpu_tc_cos5"                                      @ 11384f14  in ?
  "rcpu_cpu_tc_cos6"                                      @ 11384f28  in ?
  "rcpu_cpu_tc_cos7"                                      @ 11384f3c  in ?
  "rcpu_dot1pri_cos0"                                     @ 11384f50  in ?
  "rcpu_dot1pri_cos1"                                     @ 11384f64  in ?
  "rcpu_dot1pri_cos2"                                     @ 11384f78  in ?
  "rcpu_dot1pri_cos3"                                     @ 11384f8c  in ?
  "rcpu_dot1pri_cos4"                                     @ 11384fa0  in ?
  "rcpu_dot1pri_cos5"                                     @ 11384fb4  in ?
  "rcpu_dot1pri_cos6"                                     @ 11384fc8  in ?
  "rcpu_dot1pri_cos7"                                     @ 11384fdc  in ?
  "rcpu_dot1pri_map_enable"                               @ 11384ff0  in ?
  "rcpu_higig_port"                                       @ 11385008  in ?
  "rcpu_lmac"                                             @ 11385018  in ?
  "rcpu_master_modid"                                     @ 11385024  in ?
  "rcpu_master_unit"                                      @ 11385038  in ?
  "rcpu_mh_cpu_cos_enable"                                @ 1138504c  in ?
  "rcpu_mh_src_pid_enable"                                @ 11385064  in ?
  "rcpu_mh_tc_cos0"                                       @ 1138507c  in ?
  "rcpu_mh_tc_cos1"                                       @ 1138508c  in ?
  "rcpu_mh_tc_cos2"                                       @ 1138509c  in ?
  "rcpu_mh_tc_cos3"                                       @ 113850ac  in ?
  "rcpu_mh_tc_cos4"                                       @ 113850bc  in ?
  "rcpu_mh_tc_cos5"                                       @ 113850cc  in ?
  "rcpu_mh_tc_cos6"                                       @ 113850dc  in ?
  "rcpu_mh_tc_cos7"                                       @ 113850ec  in ?
  "rcpu_mh_tc_map_enable"                                 @ 113850fc  in ?
  "rcpu_only"                                             @ 11385114  in ?
  "rcpu_oob_channel"                                      @ 11385120  in ?
  "rcpu_port"                                             @ 11385134  in ?
  "rcpu_rx_pbmp"                                          @ 11385140  in ?
  "rcpu_slave_modid"                                      @ 11385150  in ?
  "rcpu_src_mac"                                          @ 11385164  in ?
  "rcpu_use_oob"                                          @ 11385174  in ?
  "rcpu_vlan"                                             @ 11385184  in ?
  "soc_dma_monitor_thread_pri"                            @ 11385b9c  in ?
  "soc_knet_rx_thread_pri"                                @ 11385bc4  in ?
  "bcm_field_qualify_DstHiGig"                            @ 1138b778  in FUN_103b1514
  "bcm_field_qualify_DstHiGig_get"                        @ 1138b794  in FUN_103b165c
  "bcm_field_qualify_HiGig"                               @ 1138cc68  in FUN_103bc5e8
  "bcm_field_qualify_HiGigProxy"                          @ 1138cc80  in FUN_103bc730
  "bcm_field_qualify_HiGigProxy_get"                      @ 1138cca0  in FUN_103bc878
  "bcm_field_qualify_HiGig_get"                           @ 1138ccc4  in FUN_103bc9a0
  "bcm_knet_cleanup"                                      @ 11391490  in FUN_103e6130
  "bcm_knet_filter_create"                                @ 113914a4  in FUN_103e6240
  "bcm_knet_filter_destroy"                               @ 113914bc  in FUN_103e6398
  "bcm_knet_filter_get"                                   @ 113914d4  in FUN_103e64b0
  "bcm_knet_filter_traverse"                              @ 113914e8  in FUN_103e65f0
  "bcm_knet_init"                                         @ 11391504  in FUN_103e6710
  "bcm_knet_netif_create"                                 @ 11391514  in FUN_103e6820
  "bcm_knet_netif_destroy"                                @ 1139152c  in FUN_103e6978
  "bcm_knet_netif_get"                                    @ 11391544  in FUN_103e6a90
  "bcm_knet_netif_traverse"                               @ 11391558  in FUN_103e6bd0
  "bcm_rx_active"                                         @ 113966cc  in FUN_104286e4
  "bcm_rx_alloc"                                          @ 113966dc  in FUN_104287f4
  "bcm_rx_burst_get"                                      @ 113966ec  in FUN_10428920
  "bcm_rx_burst_set"                                      @ 11396700  in FUN_10428a38
  "bcm_rx_cfg_get"                                        @ 11396714  in FUN_10428b50
  "bcm_rx_cfg_init"                                       @ 11396724  in FUN_10428c68
  "bcm_rx_channels_running"                               @ 11396734  in FUN_10428d78
  "bcm_rx_clear"                                          @ 1139674c  in FUN_10428e90
  "bcm_rx_control_get"                                    @ 1139675c  in FUN_10428fa0
  "bcm_rx_control_set"                                    @ 11396770  in FUN_104290c4
  "bcm_rx_cos_burst_get"                                  @ 11396784  in FUN_104291e8
  "bcm_rx_cos_burst_set"                                  @ 1139679c  in FUN_10429308
  "bcm_rx_cos_max_len_get"                                @ 113967b4  in FUN_10429428
  "bcm_rx_cos_max_len_set"                                @ 113967cc  in FUN_10429548
  "bcm_rx_cos_rate_get"                                   @ 113967e4  in FUN_10429668
  "bcm_rx_cos_rate_set"                                   @ 113967f8  in FUN_10429788
  "bcm_rx_cosq_mapping_delete"                            @ 1139680c  in FUN_104298a8
  "bcm_rx_cosq_mapping_get"                               @ 11396828  in FUN_104299c0
  "bcm_rx_cosq_mapping_reasons_get"                       @ 11396840  in FUN_10429b10
  "bcm_rx_cosq_mapping_set"                               @ 11396860  in FUN_10429c28
  "bcm_rx_cosq_mapping_size_get"                          @ 11396878  in FUN_10429dd8
  "bcm_rx_cpu_rate_get"                                   @ 11396898  in FUN_10429ef0
  "bcm_rx_cpu_rate_set"                                   @ 113968ac  in FUN_1042a008
  "bcm_rx_free"                                           @ 113968c0  in FUN_1042a120
  "bcm_rx_free_enqueue"                                   @ 113968cc  in FUN_1042a238
  "bcm_rx_init"                                           @ 113968e0  in FUN_1042a350
  "bcm_rx_queue_channel_get"                              @ 113968ec  in FUN_1042a460
  "bcm_rx_queue_channel_set"                              @ 11396908  in FUN_1042a580
  "bcm_rx_queue_max_get"                                  @ 11396924  in FUN_1042a6a0
  "bcm_rx_queue_packet_count_get"                         @ 1139693c  in FUN_1042a7b8
  "bcm_rx_queue_rate_limit_status_get"                    @ 1139695c  in FUN_1042a8d8
  "bcm_rx_queue_register"                                 @ 11396980  in FUN_1042a9f8
  "bcm_rx_queue_unregister"                               @ 11396998  in FUN_1042ab44
  "bcm_rx_rate_get"                                       @ 113969b0  in FUN_1042ac78
  "bcm_rx_rate_set"                                       @ 113969c0  in FUN_1042ad90
  "bcm_rx_reasons_get"                                    @ 113969d0  in FUN_1042aea8
  "bcm_rx_reasons_policer_set"                            @ 113969e4  in FUN_1042afc0
  "bcm_rx_redirect_reasons_get"                           @ 11396a00  in FUN_1042b10c
  "bcm_rx_redirect_reasons_set"                           @ 11396a1c  in FUN_1042b230
  "bcm_rx_register"                                       @ 11396a38  in FUN_1042b380
  "bcm_rx_remote_pkt_enqueue"                             @ 11396a48  in FUN_1042b4c4
  "bcm_rx_sched_register"                                 @ 11396a64  in FUN_1042b5dc
  "bcm_rx_sched_unregister"                               @ 11396a7c  in FUN_1042b6f4
  "bcm_rx_show"                                           @ 11396a94  in FUN_1042b804
  "bcm_rx_snoop_create"                                   @ 11396aa0  in FUN_1042b914
  "bcm_rx_snoop_destroy"                                  @ 11396ab4  in FUN_1042ba34
  "bcm_rx_snoop_get"                                      @ 11396acc  in FUN_1042bb54
  "bcm_rx_snoop_set"                                      @ 11396ae0  in FUN_1042bc94
  "bcm_rx_start"                                          @ 11396af4  in FUN_1042be0c
  "bcm_rx_stop"                                           @ 11396b04  in FUN_1042bf24
  "bcm_rx_trap_get"                                       @ 11396b10  in FUN_1042c03c
  "bcm_rx_trap_set"                                       @ 11396b20  in FUN_1042c17c
  "bcm_rx_trap_type_create"                               @ 11396b30  in FUN_1042c2f4
  "bcm_rx_trap_type_destroy"                              @ 11396b48  in FUN_1042c420
  "bcm_rx_unit_next_get"                                  @ 11396b64  in FUN_1042c538
  "bcm_rx_unregister"                                     @ 11396b7c  in FUN_1042c650
  "bcm_switch_rcpu_decap_priority_map_get"                @ 11397b3c  in FUN_10438244
  "bcm_switch_rcpu_decap_priority_map_set"                @ 11397b64  in FUN_10438364
  "bcm_switch_rcpu_encap_priority_map_get"                @ 11397b8c  in FUN_10438484
  "bcm_switch_rcpu_encap_priority_map_set"                @ 11397bb4  in FUN_104385b0
  "bcm_tx_array"                                          @ 11398694  in FUN_10440db0
  "bcm_tx_init"                                           @ 113986b4  in FUN_10440ff8
  "bcm_tx_list"                                           @ 113986c0  in FUN_10441108
  "bcm_tx_pkt_l2_map"                                     @ 113986cc  in FUN_10441230
  "bcm_tx_pkt_setup"                                      @ 113986e0  in FUN_10441358
  "bcm_tx_show"                                           @ 113986f4  in FUN_10441470
  "FP(unit %d) Error: HiGig not in entry=%d Qset.\n"      @ 1139e050  in FUN_104ce330
  "HiGigClassSelect"                                      @ 1139f8a8  in ?
  "HiGig"                                                 @ 113a020c  in ?
  "HiGigProxy"                                            @ 113a0214  in ?
  "DstHiGig"                                              @ 113a0220  in ?
  "EthernetOamTxPktUPMEP"                                 @ 113a1508  in ?
  "STK: Invalid HG stk cfg. unit %d, port %d\n"           @ 113abcc4  in FUN_10641680
  "soc_dma_abort_channel unit %d: channel %d abort timeou @ 113b5edc  in FUN_1078aa38
  "soc_dma_abort_channel unit %d: channel %d abort timeou @ 113b5edc  in FUN_1078aa38
  "soc_dma_abort_channel unit %d: channel %d abort timeou @ 113b5edc  in FUN_1078aa38
  "combine-dcb "                                          @ 113b61e4  in FUN_1078ca54
  "combine-dcb "                                          @ 113b61e4  in FUN_1078d198
