# BCM SDK Register Name Table extracted from switchd
# Table base: 11bcac14
# 36896 valid entries, 0 null/skipped, scanned 36896 slots

# reg_id  | name
# --------+----------------------
0x0079   APBW_IDM_IDM_IO_STATUS
0x007a   APBW_IDM_IDM_RESET_CONTROL
0x007b   APBW_IDM_IDM_RESET_READ_ID
0x007c   APBW_IDM_IDM_RESET_STATUS
0x007d   APBW_IDM_IDM_RESET_WRITE_ID
0x007e   APBX_IDM_IDM_ERROR_LOG_ADDR_LSB
0x007f   APBX_IDM_IDM_ERROR_LOG_COMPLETE
0x0080   APBX_IDM_IDM_ERROR_LOG_CONTROL
0x0081   APBX_IDM_IDM_ERROR_LOG_FLAGS
0x0082   APBX_IDM_IDM_ERROR_LOG_ID
0x0083   APBX_IDM_IDM_ERROR_LOG_STATUS
0x0084   APBX_IDM_IDM_INTERRUPT_STATUS
0x0085   APBX_IDM_IDM_IO_CONTROL_DIRECT
0x0086   APBX_IDM_IDM_RESET_CONTROL
0x0087   APBX_IDM_IDM_RESET_READ_ID
0x0088   APBX_IDM_IDM_RESET_STATUS
0x0089   APBX_IDM_IDM_RESET_WRITE_ID
0x008a   APBY_S0_IDM_IDM_ERROR_LOG_ADDR_LSB
0x008b   APBY_S0_IDM_IDM_ERROR_LOG_COMPLETE
0x008c   APBY_S0_IDM_IDM_ERROR_LOG_CONTROL
0x008d   APBY_S0_IDM_IDM_ERROR_LOG_FLAGS
0x008e   APBY_S0_IDM_IDM_ERROR_LOG_ID
0x008f   APBY_S0_IDM_IDM_ERROR_LOG_STATUS
0x0090   APBY_S0_IDM_IDM_INTERRUPT_STATUS
0x0091   APBY_S0_IDM_IDM_RESET_CONTROL
0x0092   APBY_S0_IDM_IDM_RESET_READ_ID
0x0093   APBY_S0_IDM_IDM_RESET_STATUS
0x0094   APBY_S0_IDM_IDM_RESET_WRITE_ID
0x0095   APBZ_S0_IDM_IDM_ERROR_LOG_ADDR_LSB
0x0096   APBZ_S0_IDM_IDM_ERROR_LOG_COMPLETE
0x0097   APBZ_S0_IDM_IDM_ERROR_LOG_CONTROL
0x0098   APBZ_S0_IDM_IDM_ERROR_LOG_FLAGS
0x0099   APBZ_S0_IDM_IDM_ERROR_LOG_ID
