# Functions in linux-kernel-bde.ko
# Address	Name	Size	Params
0x000180ac  	sprintf	1	2
0x000180b0  	pci_bus_write_config_word	1	0
0x000180b4  	__register_chrdev	1	0
0x000180b8  	remove_proc_entry	1	0
0x000180bc  	simple_strtoul	1	0
0x000180c4  	dev_set_drvdata	1	0
0x000180c8  	strspn	1	2
0x000180cc  	strlen	1	1
0x000180dc  	__kmalloc	1	0
0x000180e0  	pci_bus_read_config_byte	1	0
0x000180e8  	strpbrk	1	2
0x000180ec  	__unregister_chrdev	1	0
# Total: 168 functions
