# Interesting strings from switchd
0x11326128    "%s %s:%d CRIT bcm_l3_host_traverse (v6) failed: %s\n"
0x1132615c    "%s %s:%d CRIT bcm_l3_route_traverse (v4) failed: %s\n"
0x113261cc    "%s %s:%d CRIT bcm_l3_route_traverse (v6) failed: %s\n"
0x11326324    "%s %s:%d CRIT bcm_l3_egress_create failed: %s\n"
0x1132639c    "%s %s:%d CRIT bcm_l3_egress_find failed: %s\n"
0x113263cc    "%s %s:%d CRIT bcm_l3_egress_destroy failed: %s\n"
0x11326494    "%s %s:%d CRIT bcm_l3_egress_multipath_max_create failed: %s\n"
0x11326530    "%s %s:%d CRIT bcm_l3_egress_multipath_destroy failed: %s\n"
0x113265b0    "%s %s:%d CRIT bcm_l3_host_find %x failed: %s\n"
0x113265e0    "%s %s:%d CRIT bcm_l3_host_add failed for hal route %s: %s\n"
0x11326660    "%s %s:%d CRIT bcm_l3_route_get failed for hal route %s: %s\n"
0x1132669c    "%s %s:%d CRIT bcm_l3_route_add failed for hal route %s: %s\n"
0x11326710    "%s %s:%d CRIT bcm_l3_host_delete for HAL route %s failed: %s\n"
0x11326788    "%s %s:%d CRIT bcm_l3_route_delete hal route %s failed: %s\n"
0x11326870    "%s %s:%d CRIT bcm_l2_traverse failed: %s\n"
0x11326984    "%s %s:%d CRIT bcm_l2_addr_add failed %s\n"
0x113269b0    "%s %s:%d bcm_l2_addr_delete: %s\n"
0x113269d4    "%s %s:%d bcm_l2_addr_delete for %s: %s\n"
0x113269fc    "%s %s:%d hal_bcm_del_brmacs_by_vlan_port: %s, bridge vlan: %d %s\n"
0x11327048    "%s %s:%d hal_bcm_get_bridges\n"
0x11327090    "%s %s:%d CRIT bcm_trunk_create failed: %s\n"
0x113270d0    "%s %s:%d CRIT bcm_trunk_psc_set failed: %s\n"
0x113270fc    "%s %s:%d CRIT hal_bcm_vlan_alloc failed for bond id %d\n"
0x113271dc    "%s %s:%d CRIT bcm_port_class_set failed: %s\n"
0x1132720c    "%s %s:%d bcm_l2_addr_delete_by_trunk failed: %s\n"
0x11327240    "%s %s:%d CRIT bcm_trunk_destroy failed: %s\n"
0x113272fc    "%s %s:%d CRIT bcm_trunk_set failed: %s\n"
0x11327378    "%s %s:%d hal_bcm_bond_delete_port - trunk is empty already\n"
0x113273b4    "%s %s:%d CRIT hal_bcm_bond_delete_port failed, can't find port %d\n"
0x113273f8    "%s %s:%d CRIT bcm_trunk_member_delete failed: %s\n"
0x11327458    "%s %s:%d CRIT hal_bcm_bond_update_port %d failed, can't find port %d\n"
0x113274f0    "%s %s:%d CRIT bcm_trunk_get %d failed: %s\n"
0x113275e0    "%s %s:%d CRIT bcm_stg_create failed for vlan %d: %s\n"
0x11327660    "%s %s:%d CRIT bcm_stg_vlan_add failed for vlan %d, stg %d (%s)\n"
0x113277c0    "%s %s:%d CRIT hal_bcm_vlan_create failed %d: %s\n"
0x11327814    "%s %s:%d CRIT bcm_vlan_control_vlan_set failed %d: %d\n"
0x11327900    "%s %s:%d CRIT hal_bcm_l2_learn_set failed for %d: enable:%d %s\n"
0x11327ae0    "%s %s:%d ERR bcm_vlan_port_remove failed for %d %d: %s\n"
0x11327b3c    "%s %s:%d ERR bcm_vlan_port_add for port: %d vlan %d failed: %d\n"
0x11327b8c    "%s %s:%d ERR bcm_port_untagged_vlan_set failed port %d vlan %d:%d\n"
0x11327bd0    "%s %s:%d ERR bcm_vlan_translate_delete port %d ext_vlan %d: %d\n"
0x11327c10    "%s %s:%d ERR bcm_vlan_translate_egress_delete port %d int_vlan %d: %d\n"
0x11327c58    "%s %s:%d CRIT bcm_vlan_translate_add: port %d ext_vlan %d int_vlan %d: %d\n"
0x11327ca4    "%s %s:%d CRIT bcm_vlan_translate_egress_add: port %d ext_vlan %d int_vlan %d: %d\n"
0x11327fb4    "%s %s:%d hal_bcm_del_brmac failed. %s, %d\n"
0x1132801c    "%s %s:%d CRIT bcm_port_learn_set failed: port %d enable %d: %d\n"
0x11328298    "%s %s:%d ERR bcm_vlan_translate_delete failed, port %d vlan %d: %d\n"
0x113282dc    "%s %s:%d ERR bcm_vlan_translate_egress_delete failed, port %d vlan %d: %d\n"
0x11328328    "%s %s:%d ERR bcm_l2_addr_delete_by_vlan_port failed, %s: %d\n"
0x113283b4    "%s %s:%d CRIT bcm_vlan_stp_set failed for port %d: vlan %d %s\n"
0x113283f4    "%s %s:%d CRIT bcm_l2_age_timer_set failed %s\n"
0x11328458    "%s %s:%d CRIT bcm_rx_cos_rate_set failed: %s\n"
0x11328488    "%s %s:%d CRIT bcm_rx_cos_burst_set failed: %s\n"
0x11328888    "%s %s:%d CRIT bcm_l3_egress_get failed: group %d, egr %d %s\n"
0x113288c8    "%s %s:%d CRIT bcm_multicast_egress_add failed: %d\n"
0x1132894c    "%s %s:%d CRIT bcm_multicast_egress_delete failed: %s\n"
0x113289d4    "%s %s:%d CRIT bcm_multicast_egress_delete failed: %d\n"
0x11328a0c    "hal_bcm_mdb_grp_cb"
0x11328a20    "hal_bcm_mdb_del_grp"
0x11328a34    "hal_bcm_mdb_add_grp"
0x11328a48    "hal_bcm_vlan_fwd_set"
0x11328a7c    "hal_bcm_vlan_port_delete"
0x11328ab0    "hal_bcm_vlan_port_set"
0x11328afc    "hal_bcm_vlan_free"
0x11328b10    "hal_bcm_vlan_alloc"
0x11328b48    "hal_bcm_bond_delete_port"
0x11328b64    "hal_bcm_bond_add_port"
0x11328b7c    "hal_bcm_bond_destroy"
0x11328b94    "hal_bcm_bond_create"
0x11328ba8    "hal_bcm_bridge_dealloc"
0x11328bc0    "hal_bcm_bridge_post_sync_update"
0x11328c24    "hal_bcm_remove_route"
0x11328c60    "hal_bcm_get_routes"
0x11328c84    "hal_bcm_vlan_destroy"
0x11328c9c    "hal_bcm_vlan_create"
0x11328cd0    "hal_bcm_compat.c"
0x11328d78    "hal_bcm_console.c"
0x11328dc8    "/var/run/switchd.socket"
0x11328edc    "cl-support 'switchd rc script failed'"
0x113290fc    "%s %s:%d ERR bcm_mirror_mode failed %s\n"
0x1132925c    "%s %s:%d ERR bcm_field_range_create failed %s\n"
0x1132928c    "%s %s:%d ERR bcm_field_qualify_RangeCheck failed %s\n"
0x113292c4    "%s %s:%d ERR bcm_field_range_destroy failed %s\n"
0x113292f4    "%s %s:%d ERR bcm_mirror_dest_destroy failed %s\n"
0x11329324    "%s %s:%d ERR bcm_field_stat_destroy failed %s\n"
0x11329354    "%s %s:%d ERR bcm_policer_destroy failed %s\n"
0x11329380    "%s %s:%d ERR bcm_field_qualify_L4SrcPort failed %s\n"
0x113293b4    "%s %s:%d ERR bcm_field_qualify_L4DstPort failed %s\n"
0x113293e8    "%s %s:%d ERR bcm_field_qualify_TcpControl failed %s\n"
0x11329420    "%s %s:%d ERR bcm_field_qualify_IcmpTypeCode failed %s\n"
0x11329458    "%s %s:%d ERR bcm_field_qualify_OutPort failed %s\n"
0x1132948c    "%s %s:%d ERR bcm_field_qualify_Vlan failed %s\n"
0x113294e8    "%s %s:%d ERR bcm_field_qualify_InterfaceClassPort failed %s\n"
0x11329528    "%s %s:%d ERR bcm_field_qualify_DstTrunk failed %s\n"
0x1132955c    "%s %s:%d ERR ACL hal_bcm_get_trunk failed, no members for %u\n"
0x113295e8    "%s %s:%d ERR bcm_field_qualify_InPorts failed %s\n"
0x1132965c    "%s %s:%d ERR bcm_field_qualify_DstPort failed %s\n"
0x11329718    "%s %s:%d ERR bcm_field_qualify_SrcIp6 failed %s\n"
0x1132974c    "%s %s:%d ERR bcm_field_qualify_DstIp6 failed %s\n"
0x11329780    "%s %s:%d ERR bcm_field_qualify_IpType failed %s\n"
0x113297d0    "%s %s:%d ERR bcm_field_qualify_SrcIp failed %s\n"
